Vendor,Visibility,Detection,Substeps,Confidence,Quality
bitdefender,109.000,65.000,134.000,0.640,0.596
crowdstrike,114.000,30.000,134.000,0.430,0.982
cybereason,79.000,31.000,134.000,0.440,0.570
cycraft,91.000,90.000,134.000,0.725,0.813
cylance,109.000,61.000,134.000,0.585,0.954
elastic,122.000,60.000,134.000,0.561,0.885
fireeye,116.000,67.000,134.000,0.593,0.871
gosecure,69.000,46.000,134.000,0.685,0.667
hansight,111.000,53.000,134.000,0.568,0.919
kaspersky,57.000,27.000,134.000,0.570,0.526
malwarebytes,32.000,17.000,134.000,0.617,0.031
mcafee,63.000,32.000,134.000,0.579,0.889
microsoft,114.000,33.000,134.000,0.379,0.947
paloaltonetworks,116.000,50.000,134.000,0.528,0.940
reaqta,116.000,27.000,134.000,0.403,0.534
secureworks,106.000,34.000,134.000,0.491,0.962
sentinelone,123.000,62.000,134.000,0.598,0.724
symantec,80.000,44.000,134.000,0.578,0.375
trendmicro,116.000,56.000,134.000,0.560,0.845
vmware,101.000,45.000,134.000,0.507,0.990
withsecure,115.000,38.000,134.000,0.454,0.974
